paraid,LUGAR,Latitude,Longitude,Descricao,Tags
61,Diaesi,-10.6817660,-37.4352710, "Divisão de assistência estudantil, responsável pelas ações da assistência social, psicologia e orientações pedagógicas que viabilizam as condições de permanência do estudante no curso."Bloco B
64,Saes Serviço Social,-10.6817970,-37.4352586," Sala de Serviço Social.","Bloco B"
63,Brinquedoteca,-10.6817693,-37.4352838, "A brinquedoteca encontra-se reestruturada para acolher crianças das rede pública de ensino e também constitui-se como um espaço formativo no âmbito didático-pedagógico para os discentes do curso de Pedagogia da UFS.", "Bloco B"
62,Labcont2,-10.6816408,-37.4353361,"Laratório utilizado para a área de Sistemas de informação e na área de contabilidade","Bloco B, Laboratório"
68,Laboratório 3,-10.6816405,-37.4353481,"Laratório utilizado para a área de Sistemas de informação.", "Bloco B, Laboratório"
65,Saes Psicologia,-10.6816471,-37.4350202,"Sala de atendimento da(o) psicóloga(o).","Bloco B"
66,Rua CTI,-10.6817934,-37.4353461,"Corredor com as salas na área de Física, Geografia e a CTI. ","Bloco B, CTI, Geografia, Física"
70,CTI,-10.6816827,-37.4352405,"Setor responsável em prestar suporte às atividades acadêmicas e administrativas, e atua na elaboração de projetos de TI, adaptação de sistemas, distribuição e manutenção de equipamentos, entre outras.","Bloco B, CTI"
69,Travessa para Bloco A,-10.6816945,-37.4350202,"Travessa localizada no Bloco A.", "Bloco B, Corredor"
71,Escada Acesso Bloco A,-10.6818003,-37.4349626,"Escada Acesso para o Bloco A.","Bloco A, Escada"
72,Entrada Rampa Bloco A,-10.6815911,-37.4349773,"Entrada da rampa para acessar o Bloco A.","Bloco A, Entrada, Rampa"
73,Entrada Bloco A,-10.6818283,-37.4349079,"Entrada de acesso para o Bloco A.","Bloco A, Entrada"
77,Esquina Bloco A,-10.6820023,-37.4349559,"Esquina localizada no Bloco A.","Bloco A, Corredor"
74,Entrada Vivência,-10.6820125,-37.4345063,"Entrada de acesso para a Vivência.","Vivência, Entrada"
75,Vivência,-10.6820464,-37.4344848,"Entrada de acesso para a Vivência, onde você encontrará bancos para sentar e mesas, além de uma lanchonete.","Vivência"
76,Estacionamento,-10.6816198,-37.4346189,"Estacionamento para motos e bicicletas.","Estacionamento"
81,hall bloco a,-10.681925,-37.434794,"Hall localizado no Bloco B.","Bloco A, Hall"
79,diaci,-10.6818952,-37.4347926,"A Divisão Acadêmico de Itabaiana é responsável por apoiar e conduzir no Campus as atividades relacionadas ao Departamento de Administração Acadêmica (DAA) da Pró-Reitoria de Graduação.","Bloco B"
80,Laboratório geografia a,-10.6818893,-37.4347624,"Laratório utilizado para a área de Geografia.", "Bloco A, Laboratório, Geografia "
83,Almoxarifado,-10.6819192,-37.4348157,"Local onde ocorrem armazenamento e gestão de materiais e suprimentos.","Bloco A, Almoxarifado"
85,secomi,-10.6818939,-37.4348201,"Secretaria de Comunicação de Itabaiana, Responsável por gerenciar e atualizar os canais de comunicação oficiais do Campus.","Bloco B, Secretaria"
86,vice-direcao,-10.6819209,-37.4348157, "Sala do Vice-Diretor.","Bloco A"
84,seci,-10.6818955,-37.4348379, "Secretaria Executiva, Preparar expediente do(a) Diretor(a), auxiliar nas atividades administrativas e acadêmicas, gerenciar frequência e licenças dos técnicos, atender ao público, fornecer informações sobre a agenda, secretariar reuniões, coordenar o Relatório de Gestão Anual, apoiar comunicação e serviços administrativos, e executar atividades delegadas pela Direção.", "Bloco A, Secretaria"
82,almoxarifado de limpeza,-10.6818873,-37.4347976,"Local onde ocorrem armazenamento e gestão de materiais e suprimentos para limpeza.", "Bloco A, Almoxarifado"
94,hall fundo a,-10.6818909,-37.4348077,"Hall localizado no fundo do Bloco A.","Bloco A, Hall"
90,divisao pedagogica e de extensao,-10.6818224,-37.4346893,"Apoia e conduz atividades relacionadas ao Departamento Pedagógico (DEAPE) da Pró-Reitoria de Graduação (PROGRAD) e à Pró-Reitoria de Extensão (PROEX) nas dimensões pedagógicas e extensionistas.","Bloco A, Pedagogia "
89,Laboratório pesquisa quimica,-10.6817927,-37.4347078,"Laboratório de pesquisa utilizado para a área de Quimica.","Laboratório, Pesquisa, Quimica"
123,coadi e diopi,-10.6817851,-37.4347168,"Coordenar levantamento patrimonial e inventários, solicitar e distribuir materiais de escritório, gerenciar transporte e abastecimento, zelar pelos veículos, coordenar movimentação de malotes, receber e encaminhar solicitações postais, gerenciar auditórios e eventos, e apoiar o laboratório LIFE na reserva e manutenção.","Bloco A"
96,Laboratório producao texto,-10.6817851,-37.4347168, "Laboratório de produção de texto utilizado para a área de Letras.","Bloco A, Letras"
95,Sala de monitoria matemática,-10.6818227,-37.4346863,"Sala onde alunos do curso de matemática recebem monitoria.","Bloco A, Sala, Monitoria"
92,Laboratório ensino e pesquisa,-10.6817275,-37.4347735,"Laboratório de ensino e pesquisas.","Bloco A, Laboratório, Pesquisa"
93,Itatech empresa junior,-10.6817301,-37.4348157,"Sala onde integrantes da Itatech Jr fazem reuniões.","Bloco A, Sala, Reunião"
88,Laboratório pesquisa em letras,-10.6817301,-37.4348157,"Laboratório onde fazem pesquisas da matéria de Letras.","Bloco A, Laboratório, Pesquisa"
200,Laboratório interdisciplinar de formação educador (life),-10.6819598,-37.4348037,"Laboratório de apoio ao ensino e à pesquisa.", "Bloco A, Laboratório, Pesquisa"
Sala C 106 nt/planilha,-10.6817281,-37.4357089,"0","0, 0, 0"
201,banheiro bloco C parte superior,-10.6819825,-37.4356066,"0","0, 0, 0"
191,banheiro corredor inferior C,-10.6819683,-37.4356194,"0","0, 0, 0"
192,labev inferior C,-10.6819410,-37.4356338,"Laboratório de Biologia e Ecologia de Vertebrados.","Bloco C, Laboratório, Biologia"
190,LQD I bloco C inferior,-10.6819238,-37.4355366,"0","0, 0, 0"
185,LAPEQ I parte inferior bloco c,-10.6818774,-37.4355396,"Laboratório I de pesquisa em ensino de ciências.","Bloco C, Laboratório, Pesquisa"
LECoB bloco C inferior,-10.6818517,-37.4356090,"Laboratório de ecologia e conservação da biodiversidade.","Bloco C, Laboratório, Pesquisa"
189,LAPEQ II,-10.6818949,-37.4355215,"Laboratório II de ecologia e conservação da biodiversidade.","Bloco C, Laboratório, Pesquisa"
188,LABNEURO,-10.6818662,-37.4356150,"Laboratório de Neurobiologia das Doenças Degenerativas do Sistema Nervoso.","Bloco C, Laboratório, Pesquisa",
